"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 23:38:53 GMT 2024","Mon Jan 22 23:38:53 GMT 2024","534","tests","test_cases","TestCasesPage","","","test_verify_test_cases_page","Test to verify the test cases page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:38:59 GMT 2024","Mon Jan 22 23:39:01 GMT 2024","2042","tests","test_home","TestHomePage","","","test_verify_subscription_in_home_page","Test to verify the subscription functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:39:25 GMT 2024","Mon Jan 22 23:39:26 GMT 2024","649","tests","test_registration","TestRegistrationPage","","","test_register_user_with_existing_email","Test to verify new user registration with existing email

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:39:09 GMT 2024","Mon Jan 22 23:39:09 GMT 2024","644","tests","test_login","TestLogin","","","test_login_user_with_incorrect_email_and_password","Test to verify login with invalid credentials

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:39:14 GMT 2024","Mon Jan 22 23:39:15 GMT 2024","579","tests","test_products","TestProductsPage","","","test_verify_all_products_and_product_detail_page","Test to verify all products and product detail page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:38:54 GMT 2024","Mon Jan 22 23:38:58 GMT 2024","3629","tests","test_contact_us","TestContactUsPage","","","test_contact_us_form","Test to verify the contact us form

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:39:19 GMT 2024","Mon Jan 22 23:39:24 GMT 2024","4907","tests","test_registration","TestRegistrationPage","","","test_register_user","Test to verify the user registration with valid credentials

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:39:03 GMT 2024","Mon Jan 22 23:39:07 GMT 2024","3595","tests","test_login","TestLogin","","","test_login_user_with_correct_email_and_password","Test to verify login with valid credentials

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:39:11 GMT 2024","Mon Jan 22 23:39:12 GMT 2024","1206","tests","test_login","TestLogin","","","test_logout_user","Test to verify the logout

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 22 23:39:17 GMT 2024","Mon Jan 22 23:39:18 GMT 2024","695","tests","test_products","TestProductsPage","","","test_search_product","Test to verify the products search functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
